IQL Score,BC Score,Behavioral Policy,Training Set Size,Training Steps,Seed
2.0,13.0,Expert,372,10000,0
8.0,15.0,Mixed Suboptimal,5295,10000,0
9.0,20.0,Mixed Random,3280,10000,0
15.0,18.0,Epsilon-greedy,6607,10000,0
9.0,16.0,Boltzmann Softmax: Tau 0.5,17730,10000,0
5.0,13.0,Boltzmann Softmax: Tau 1.5,28619,10000,0
6.0,10.0,Random,32323,10000,0
3.0,14.0,Mixed Suboptimal,37605,10000,0
9.0,12.0,Mixed Random,35766,10000,0
5.0,18.0,Epsilon-greedy,38906,10000,0
6.0,16.0,Boltzmann Softmax: Tau 0.5,49702,10000,0
1.0,14.0,Boltzmann Softmax: Tau 1.5,60737,10000,0
1.0,17.0,Random,64480,10000,0
3.0,16.0,Mixed Suboptimal,69612,10000,0
1.0,18.0,Mixed Random,67689,10000,0
4.0,20.0,Epsilon-greedy,70873,10000,0
1.0,20.0,Boltzmann Softmax: Tau 0.5,81661,10000,0
2.0,15.0,Boltzmann Softmax: Tau 1.5,92730,10000,0
10.0,14.0,Random,96473,10000,0
8.0,16.0,Expert,372,10000,4219
9.0,16.0,Mixed Suboptimal,5295,10000,4219
12.0,18.0,Mixed Random,3280,10000,4219
12.0,18.0,Epsilon-greedy,6607,10000,4219
8.0,15.0,Boltzmann Softmax: Tau 0.5,17730,10000,4219
9.0,11.0,Boltzmann Softmax: Tau 1.5,28619,10000,4219
2.0,9.0,Random,32323,10000,4219
7.0,14.0,Mixed Suboptimal,37605,10000,4219
3.0,13.0,Mixed Random,35766,10000,4219
9.0,18.0,Epsilon-greedy,38906,10000,4219
5.0,13.0,Boltzmann Softmax: Tau 0.5,49702,10000,4219
3.0,21.0,Boltzmann Softmax: Tau 1.5,60737,10000,4219
0.0,15.0,Random,64480,10000,4219
4.0,13.0,Mixed Suboptimal,69612,10000,4219
3.0,21.0,Mixed Random,67689,10000,4219
3.0,14.0,Epsilon-greedy,70873,10000,4219
2.0,17.0,Boltzmann Softmax: Tau 0.5,81661,10000,4219
0.0,21.0,Boltzmann Softmax: Tau 1.5,92730,10000,4219
1.0,16.0,Random,96473,10000,4219
1.0,13.0,Expert,372,10000,17333
11.0,18.0,Mixed Suboptimal,5295,10000,17333
13.0,19.0,Mixed Random,3280,10000,17333
8.0,16.0,Epsilon-greedy,6607,10000,17333
12.0,14.0,Boltzmann Softmax: Tau 0.5,17730,10000,17333
7.0,14.0,Boltzmann Softmax: Tau 1.5,28619,10000,17333
3.0,10.0,Random,32323,10000,17333
9.0,15.0,Mixed Suboptimal,37605,10000,17333
3.0,15.0,Mixed Random,35766,10000,17333
6.0,17.0,Epsilon-greedy,38906,10000,17333
3.0,15.0,Boltzmann Softmax: Tau 0.5,49702,10000,17333
5.0,21.0,Boltzmann Softmax: Tau 1.5,60737,10000,17333
0.0,14.0,Random,64480,10000,17333
0.0,19.0,Mixed Suboptimal,69612,10000,17333
2.0,20.0,Mixed Random,67689,10000,17333
2.0,15.0,Epsilon-greedy,70873,10000,17333
4.0,16.0,Boltzmann Softmax: Tau 0.5,81661,10000,17333
0.0,20.0,Boltzmann Softmax: Tau 1.5,92730,10000,17333
3.0,18.0,Random,96473,10000,17333
5.0,15.0,Expert,372,10000,39779
13.0,15.0,Mixed Suboptimal,5295,10000,39779
11.0,14.0,Mixed Random,3280,10000,39779
14.0,19.0,Epsilon-greedy,6607,10000,39779
9.0,11.0,Boltzmann Softmax: Tau 0.5,17730,10000,39779
6.0,15.0,Boltzmann Softmax: Tau 1.5,28619,10000,39779
2.0,12.0,Random,32323,10000,39779
4.0,12.0,Mixed Suboptimal,37605,10000,39779
1.0,13.0,Mixed Random,35766,10000,39779
6.0,12.0,Epsilon-greedy,38906,10000,39779
1.0,19.0,Boltzmann Softmax: Tau 0.5,49702,10000,39779
5.0,17.0,Boltzmann Softmax: Tau 1.5,60737,10000,39779
4.0,18.0,Random,64480,10000,39779
3.0,18.0,Mixed Suboptimal,69612,10000,39779
1.0,20.0,Mixed Random,67689,10000,39779
6.0,20.0,Epsilon-greedy,70873,10000,39779
0.0,17.0,Boltzmann Softmax: Tau 0.5,81661,10000,39779
4.0,15.0,Boltzmann Softmax: Tau 1.5,92730,10000,39779
1.0,17.0,Random,96473,10000,39779
5.0,17.0,Expert,372,10000,44987
14.0,13.0,Mixed Suboptimal,5295,10000,44987
9.0,20.0,Mixed Random,3280,10000,44987
14.0,20.0,Epsilon-greedy,6607,10000,44987
5.0,16.0,Boltzmann Softmax: Tau 0.5,17730,10000,44987
3.0,12.0,Boltzmann Softmax: Tau 1.5,28619,10000,44987
4.0,11.0,Random,32323,10000,44987
11.0,15.0,Mixed Suboptimal,37605,10000,44987
4.0,13.0,Mixed Random,35766,10000,44987
7.0,21.0,Epsilon-greedy,38906,10000,44987
3.0,17.0,Boltzmann Softmax: Tau 0.5,49702,10000,44987
1.0,15.0,Boltzmann Softmax: Tau 1.5,60737,10000,44987
7.0,14.0,Random,64480,10000,44987
6.0,20.0,Mixed Suboptimal,69612,10000,44987
5.0,16.0,Mixed Random,67689,10000,44987
3.0,21.0,Epsilon-greedy,70873,10000,44987
2.0,15.0,Boltzmann Softmax: Tau 0.5,81661,10000,44987
0.0,14.0,Boltzmann Softmax: Tau 1.5,92730,10000,44987
1.0,14.0,Random,96473,10000,44987
