Behavioral Policy,Training Steps,IQL Score,BC Score,IQL Score Std Dev,BC Score Std Dev
Expert,100,7.42,4.48,3.379644951766384,2.656501458685841
Mixed Suboptimal,100,5.26,3.26,2.1256110232641867,2.046786098578289
Mixed Random,100,6.840000000000001,2.06,3.985863910259745,2.1412353651312803
Epsilon-greedy,100,7.06,3.74,3.1969429842342274,2.061930055931955
Boltzmann Softmax: Tau 0.5,100,0.22,1.34,0.4638007234913623,2.3339046919510467
Boltzmann Softmax: Tau 1.5,100,2.12,1.9,2.0563181768501795,2.2191089302790985
Random,100,2.01,1.4,3.4073287027947408,1.806777364382354
Expert,200,7.840000000000001,13.9,2.173246419530008,3.0191058278901064
Mixed Suboptimal,200,7.5,11.12,2.5051058970741247,2.342268605908003
Mixed Random,200,7.38,6.21,1.8060392514499173,3.795157733510192
Epsilon-greedy,200,6.36,12.14,3.217728667519649,1.9213421235052224
Boltzmann Softmax: Tau 0.5,200,0.48,0.6,1.011928851253881,1.2649110640673518
Boltzmann Softmax: Tau 1.5,200,0.98,2.18,0.9670114327716663,2.0991003363875254
Random,200,1.96,0.3299999999999999,1.5334782540210852,0.5375872022286245
Expert,500,7.58,13.22,2.7123790295605814,2.360508419811291
Mixed Suboptimal,500,8.02,17.759999999999998,2.6960052752998176,3.8254121056139527
Mixed Random,500,7.81,16.07,2.346368352250866,2.650387812293806
Epsilon-greedy,500,6.640000000000001,13.8,2.846127974010382,4.085747585611884
Boltzmann Softmax: Tau 0.5,500,1.44,0.0,2.3679339330123024,0.0
Boltzmann Softmax: Tau 1.5,500,2.18,1.2,2.114920539615824,1.5491933384829668
Random,500,2.56,0.7699999999999999,1.6925982656522156,1.7524902916199627
Expert,1000,8.4,14.7,1.5937377450509227,5.60223169817172
Mixed Suboptimal,1000,8.959999999999999,14.24,2.936816114244964,4.626781939005891
Mixed Random,1000,7.93,13.57,4.3189633529869695,3.4137141714625794
Epsilon-greedy,1000,8.84,13.2,1.9648013753162037,3.80992854992788
Boltzmann Softmax: Tau 0.5,1000,1.42,0.26,2.327039129690584,0.5481281277625191
Boltzmann Softmax: Tau 1.5,1000,3.66,2.6,4.247666025791889,2.157158624981791
Random,1000,1.84,3.01,1.6194649322126946,3.4799265637206904
Expert,2000,8.26,15.0,2.3586012804202405,4.693080012102926
Mixed Suboptimal,2000,13.06,17.3,5.390361768935365,3.854578806793004
Mixed Random,2000,7.909999999999999,14.46,4.29559205594655,5.380045435578484
Epsilon-greedy,2000,9.22,15.16,2.1441392989573544,2.304199065474451
Boltzmann Softmax: Tau 0.5,2000,2.22,0.0,2.4742226613176466,0.0
Boltzmann Softmax: Tau 1.5,2000,1.22,0.74,1.395866915018923,0.6518350166176169
Random,2000,3.53,2.28,3.237643175727266,1.9982214313956523
Expert,5000,7.2,14.78,4.532107677449864,2.1358838919754044
Mixed Suboptimal,5000,10.66,18.36,7.079736341606703,4.088248742160605
Mixed Random,5000,5.59,14.24,3.916758864163072,2.5958085873619843
Epsilon-greedy,5000,8.68,15.56,1.8480019240009224,3.623135535846142
Boltzmann Softmax: Tau 0.5,5000,1.64,0.5,2.2682347517152825,0.6666666666666666
Boltzmann Softmax: Tau 1.5,5000,2.74,1.92,2.2465776441314267,2.2144976857066254
Random,5000,2.29,3.05,1.7622271262366962,3.579338858876967
Expert,10000,5.2,14.8,3.7656340767525465,5.137606446585803
Mixed Suboptimal,10000,8.24,17.22,2.7492221122023266,1.6253546621515496
Mixed Random,10000,6.779999999999999,13.59,2.56939249196727,3.2001562461854896
Epsilon-greedy,10000,8.440000000000001,17.48,2.0918890983988616,2.9146373893009607
Boltzmann Softmax: Tau 0.5,10000,1.5399999999999998,0.82,2.196562971755849,1.17075474232081
Boltzmann Softmax: Tau 1.5,10000,1.1800000000000002,2.14,1.042219853112683,2.118280224878453
Random,10000,1.8,2.47,1.8529256146249728,3.6447984245436063
Expert,25000,5.22,14.580000000000002,3.861605883567095,2.217430945937213
Mixed Suboptimal,25000,8.0,15.779999999999998,1.5606266547626166,2.5780268078944064
Mixed Random,25000,4.5600000000000005,14.330000000000002,3.0155891261539223,3.5743064595340264
Epsilon-greedy,25000,8.5,14.8,2.086996778999804,3.476907949441413
Boltzmann Softmax: Tau 0.5,25000,0.4599999999999999,0.6,0.6022181221672648,0.77746025264604
Boltzmann Softmax: Tau 1.5,25000,2.16,2.56,2.13915871313935,2.006212573205763
Random,25000,1.99,2.25,2.3506263940584957,1.968784170779294
Expert,50000,5.220000000000001,15.82,3.7685540993861295,7.959711050031903
Mixed Suboptimal,50000,7.960000000000001,17.54,1.5034774505939372,6.197705668677368
Mixed Random,50000,6.18,15.48,3.170629099861555,4.075345929420525
Epsilon-greedy,50000,8.48,11.76,2.092738769066879,4.009211615489731
Boltzmann Softmax: Tau 0.5,50000,2.8400000000000003,1.6,1.6119001899069998,1.2454361128179603
Boltzmann Softmax: Tau 1.5,50000,2.12,1.44,2.0563181768501795,1.0276186062932102
Random,50000,1.96,2.28,2.29888862037483,3.3001010085551425
