IQL Score,BC Score,Behavioral Policy,Training Set Size,Training Steps,Seed
11.0,40.0,Expert,372,10000,0
9.0,32.0,Mixed Suboptimal,1798,10000,0
7.0,22.0,Mixed Random,2915,10000,0
10.0,39.0,Epsilon-greedy,1276,10000,0
0.0,0.0,Boltzmann Softmax: Tau 0.5,11328,10000,0
0.0,0.0,Boltzmann Softmax: Tau 1.5,11190,10000,0
0.0,0.0,Random,3787,10000,0
9.0,32.0,Mixed Suboptimal,1798,10000,0
12.0,25.0,Mixed Random,2822,10000,0
10.0,39.0,Epsilon-greedy,1276,10000,0
0.0,0.0,Boltzmann Softmax: Tau 0.5,11328,10000,0
0.0,0.0,Boltzmann Softmax: Tau 1.5,11190,10000,0
1.0,1.0,Random,3579,10000,0
11.5,40.0,Expert,372,10000,4219
11.4,34.3,Mixed Suboptimal,1798,10000,4219
11.5,17.1,Mixed Random,2915,10000,4219
22.8,40.0,Epsilon-greedy,1276,10000,4219
0.0,0.0,Boltzmann Softmax: Tau 0.5,11328,10000,4219
0.0,0.0,Boltzmann Softmax: Tau 1.5,11190,10000,4219
0.0,0.0,Random,3787,10000,4219
11.4,34.3,Mixed Suboptimal,1798,10000,4219
11.5,22.9,Mixed Random,2822,10000,4219
22.8,40.0,Epsilon-greedy,1276,10000,4219
0.0,0.0,Boltzmann Softmax: Tau 0.5,11328,10000,4219
0.0,0.0,Boltzmann Softmax: Tau 1.5,11190,10000,4219
0.0,5.6,Random,3579,10000,4219
6.7,40.0,Expert,372,10000,17333
15.6,35.6,Mixed Suboptimal,1798,10000,17333
11.0,26.7,Mixed Random,2915,10000,17333
8.8,37.8,Epsilon-greedy,1276,10000,17333
2.2,0.0,Boltzmann Softmax: Tau 0.5,11328,10000,17333
0.0,2.3,Boltzmann Softmax: Tau 1.5,11190,10000,17333
0.0,0.0,Random,3787,10000,17333
15.6,35.6,Mixed Suboptimal,1798,10000,17333
8.8,22.3,Mixed Random,2822,10000,17333
8.8,37.8,Epsilon-greedy,1276,10000,17333
2.2,0.0,Boltzmann Softmax: Tau 0.5,11328,10000,17333
0.0,2.3,Boltzmann Softmax: Tau 1.5,11190,10000,17333
2.2,2.2,Random,3579,10000,17333
11.0,40.0,Expert,372,10000,39779
9.8,30.1,Mixed Suboptimal,1798,10000,39779
8.4,22.1,Mixed Random,2915,10000,39779
9.8,37.6,Epsilon-greedy,1276,10000,39779
0.0,0.0,Boltzmann Softmax: Tau 0.5,11328,10000,39779
0.0,0.0,Boltzmann Softmax: Tau 1.5,11190,10000,39779
0.0,0.0,Random,3787,10000,39779
9.8,30.1,Mixed Suboptimal,1798,10000,39779
10.8,18.4,Mixed Random,2822,10000,39779
9.8,37.6,Epsilon-greedy,1276,10000,39779
0.0,0.0,Boltzmann Softmax: Tau 0.5,11328,10000,39779
0.0,0.0,Boltzmann Softmax: Tau 1.5,11190,10000,39779
1.3,0.0,Random,3579,10000,39779
1.6,40.0,Expert,372,10000,44987
11.8,31.2,Mixed Suboptimal,1798,10000,44987
2.9,15.5,Mixed Random,2915,10000,44987
1.4,40.0,Epsilon-greedy,1276,10000,44987
0.0,0.0,Boltzmann Softmax: Tau 0.5,11328,10000,44987
0.0,0.0,Boltzmann Softmax: Tau 1.5,11190,10000,44987
0.0,0.0,Random,3787,10000,44987
11.8,31.2,Mixed Suboptimal,1798,10000,44987
9.9,27.5,Mixed Random,2822,10000,44987
1.4,40.0,Epsilon-greedy,1276,10000,44987
0.0,0.0,Boltzmann Softmax: Tau 0.5,11328,10000,44987
0.0,0.0,Boltzmann Softmax: Tau 1.5,11190,10000,44987
0.0,1.5,Random,3579,10000,44987
