IQL Score,BC Score,Behavioral Policy,Training Set Size,Training Steps,Seed
8.0,11.0,Expert,372,1000,0
6.0,15.0,Mixed Suboptimal,1798,1000,0
8.0,13.0,Mixed Random,2915,1000,0
6.0,16.0,Epsilon-greedy,1276,1000,0
0.0,0.0,Boltzmann Softmax: Tau 0.5,11328,1000,0
1.0,2.0,Boltzmann Softmax: Tau 1.5,11190,1000,0
0.0,1.0,Random,3787,1000,0
6.0,15.0,Mixed Suboptimal,1798,1000,0
9.0,15.0,Mixed Random,2822,1000,0
6.0,16.0,Epsilon-greedy,1276,1000,0
0.0,0.0,Boltzmann Softmax: Tau 0.5,11328,1000,0
1.0,2.0,Boltzmann Softmax: Tau 1.5,11190,1000,0
1.0,4.0,Random,3579,1000,0
5.7,22.9,Expert,372,1000,4219
11.4,5.7,Mixed Suboptimal,1798,1000,4219
11.4,5.7,Mixed Random,2915,1000,4219
11.4,17.1,Epsilon-greedy,1276,1000,4219
0.0,0.0,Boltzmann Softmax: Tau 0.5,11328,1000,4219
5.7,5.7,Boltzmann Softmax: Tau 1.5,11190,1000,4219
5.7,0.0,Random,3787,1000,4219
11.4,5.7,Mixed Suboptimal,1798,1000,4219
5.7,11.4,Mixed Random,2822,1000,4219
11.4,17.1,Epsilon-greedy,1276,1000,4219
0.0,0.0,Boltzmann Softmax: Tau 0.5,11328,1000,4219
5.7,5.7,Boltzmann Softmax: Tau 1.5,11190,1000,4219
5.7,11.4,Random,3579,1000,4219
0.0,8.9,Expert,372,1000,17333
2.3,15.7,Mixed Suboptimal,1798,1000,17333
2.2,15.6,Mixed Random,2915,1000,17333
6.7,6.7,Epsilon-greedy,1276,1000,17333
0.0,0.0,Boltzmann Softmax: Tau 0.5,11328,1000,17333
2.2,0.0,Boltzmann Softmax: Tau 1.5,11190,1000,17333
0.0,2.3,Random,3787,1000,17333
2.3,15.7,Mixed Suboptimal,1798,1000,17333
2.3,13.4,Mixed Random,2822,1000,17333
6.7,6.7,Epsilon-greedy,1276,1000,17333
0.0,0.0,Boltzmann Softmax: Tau 0.5,11328,1000,17333
2.2,0.0,Boltzmann Softmax: Tau 1.5,11190,1000,17333
0.0,2.2,Random,3579,1000,17333
5.0,13.1,Expert,372,1000,39779
7.5,18.0,Mixed Suboptimal,1798,1000,39779
2.5,11.8,Mixed Random,2915,1000,39779
7.4,13.1,Epsilon-greedy,1276,1000,39779
1.2,1.3,Boltzmann Softmax: Tau 0.5,11328,1000,39779
2.4,1.2,Boltzmann Softmax: Tau 1.5,11190,1000,39779
1.2,0.0,Random,3787,1000,39779
7.5,18.0,Mixed Suboptimal,1798,1000,39779
7.3,15.8,Mixed Random,2822,1000,39779
7.4,13.1,Epsilon-greedy,1276,1000,39779
1.2,1.3,Boltzmann Softmax: Tau 0.5,11328,1000,39779
2.4,1.2,Boltzmann Softmax: Tau 1.5,11190,1000,39779
2.5,4.9,Random,3579,1000,39779
5.7,17.6,Expert,372,1000,44987
7.0,16.8,Mixed Suboptimal,1798,1000,44987
7.0,16.8,Mixed Random,2915,1000,44987
10.3,13.1,Epsilon-greedy,1276,1000,44987
0.0,0.0,Boltzmann Softmax: Tau 0.5,11328,1000,44987
1.4,4.1,Boltzmann Softmax: Tau 1.5,11190,1000,44987
1.4,0.0,Random,3787,1000,44987
7.0,16.8,Mixed Suboptimal,1798,1000,44987
1.4,17.2,Mixed Random,2822,1000,44987
10.3,13.1,Epsilon-greedy,1276,1000,44987
0.0,0.0,Boltzmann Softmax: Tau 0.5,11328,1000,44987
1.4,4.1,Boltzmann Softmax: Tau 1.5,11190,1000,44987
2.9,4.3,Random,3579,1000,44987
