IQL Score,BC Score,Behavioral Policy,Training Set Size,Training Steps,Seed
4.0,11.0,Expert,372,500,0
6.0,16.0,Mixed Suboptimal,1798,500,0
5.0,17.0,Mixed Random,2915,500,0
6.0,18.0,Epsilon-greedy,1276,500,0
0.0,0.0,Boltzmann Softmax: Tau 0.5,11328,500,0
1.0,2.0,Boltzmann Softmax: Tau 1.5,11190,500,0
1.0,1.0,Random,3787,500,0
6.0,16.0,Mixed Suboptimal,1798,500,0
6.0,12.0,Mixed Random,2822,500,0
6.0,18.0,Epsilon-greedy,1276,500,0
0.0,0.0,Boltzmann Softmax: Tau 0.5,11328,500,0
1.0,2.0,Boltzmann Softmax: Tau 1.5,11190,500,0
2.0,2.0,Random,3579,500,0
5.7,22.9,Expert,372,500,4219
5.7,17.1,Mixed Suboptimal,1798,500,4219
5.7,22.9,Mixed Random,2915,500,4219
5.7,11.4,Epsilon-greedy,1276,500,4219
0.0,0.0,Boltzmann Softmax: Tau 0.5,11328,500,4219
0.0,0.0,Boltzmann Softmax: Tau 1.5,11190,500,4219
5.7,0.0,Random,3787,500,4219
5.7,17.1,Mixed Suboptimal,1798,500,4219
5.7,11.4,Mixed Random,2822,500,4219
5.7,11.4,Epsilon-greedy,1276,500,4219
0.0,0.0,Boltzmann Softmax: Tau 0.5,11328,500,4219
0.0,0.0,Boltzmann Softmax: Tau 1.5,11190,500,4219
5.7,11.4,Random,3579,500,4219
0.0,8.9,Expert,372,500,17333
2.2,11.0,Mixed Suboptimal,1798,500,17333
2.2,20.1,Mixed Random,2915,500,17333
4.5,11.1,Epsilon-greedy,1276,500,17333
0.0,0.0,Boltzmann Softmax: Tau 0.5,11328,500,17333
0.0,0.0,Boltzmann Softmax: Tau 1.5,11190,500,17333
0.0,0.0,Random,3787,500,17333
2.2,11.0,Mixed Suboptimal,1798,500,17333
2.3,11.2,Mixed Random,2822,500,17333
4.5,11.1,Epsilon-greedy,1276,500,17333
0.0,0.0,Boltzmann Softmax: Tau 0.5,11328,500,17333
0.0,0.0,Boltzmann Softmax: Tau 1.5,11190,500,17333
0.0,0.0,Random,3579,500,17333
5.0,14.4,Expert,372,500,39779
5.0,15.5,Mixed Suboptimal,1798,500,39779
3.6,14.5,Mixed Random,2915,500,39779
5.0,16.7,Epsilon-greedy,1276,500,39779
1.1,1.2,Boltzmann Softmax: Tau 0.5,11328,500,39779
2.4,1.2,Boltzmann Softmax: Tau 1.5,11190,500,39779
1.2,0.0,Random,3787,500,39779
5.0,15.5,Mixed Suboptimal,1798,500,39779
3.6,10.8,Mixed Random,2822,500,39779
5.0,16.7,Epsilon-greedy,1276,500,39779
1.1,1.2,Boltzmann Softmax: Tau 0.5,11328,500,39779
2.4,1.2,Boltzmann Softmax: Tau 1.5,11190,500,39779
1.2,1.2,Random,3579,500,39779
4.3,17.6,Expert,372,500,44987
5.6,18.4,Mixed Suboptimal,1798,500,44987
7.0,21.3,Mixed Random,2915,500,44987
5.7,14.1,Epsilon-greedy,1276,500,44987
0.0,1.3,Boltzmann Softmax: Tau 0.5,11328,500,44987
0.0,2.8,Boltzmann Softmax: Tau 1.5,11190,500,44987
1.4,1.3,Random,3787,500,44987
5.6,18.4,Mixed Suboptimal,1798,500,44987
4.1,7.2,Mixed Random,2822,500,44987
5.7,14.1,Epsilon-greedy,1276,500,44987
0.0,1.3,Boltzmann Softmax: Tau 0.5,11328,500,44987
0.0,2.8,Boltzmann Softmax: Tau 1.5,11190,500,44987
2.9,3.0,Random,3579,500,44987
