Behavioral Policy,Training Steps,IQL Score,BC Score,IQL Score Std Dev,BC Score Std Dev
Expert,50000,7.159999999999999,16.3,3.4151134681002913,5.28441103624614
Mixed Suboptimal,50000,8.16,16.9,3.767463042655864,3.414348807280501
Mixed Random,50000,4.04,13.7,2.199090721184554,3.328997179665705
Epsilon-greedy,50000,7.340000000000001,13.52,2.631096096053253,3.12224990102401
Boltzmann Softmax: Tau 0.5,50000,2.38,1.42,2.047654484743188,0.9390302326218138
Boltzmann Softmax: Tau 1.5,50000,3.08,1.86,1.7529657409341715,2.086570817819941
Random,50000,2.96,2.7199999999999998,1.8626146497151077,3.459222777188862
Expert,25000,8.1,17.119999999999997,3.5270384177096794,6.8634539409833595
Mixed Suboptimal,25000,8.68,17.240000000000002,2.463421288461323,3.282681830455092
Mixed Random,25000,4.09,13.290000000000001,2.372738689550303,3.2309097446041073
Epsilon-greedy,25000,8.5,15.280000000000001,2.1166010488516727,2.7124404755373597
Boltzmann Softmax: Tau 0.5,25000,2.68,2.38,2.2225110923357745,2.189266746855871
Boltzmann Softmax: Tau 1.5,25000,3.9799999999999995,1.0,4.154996991575325,1.083205120618128
Random,25000,2.95,2.7399999999999998,1.8963415069842013,3.482400193991367
Expert,10000,6.58,13.48,4.148734746883681,3.0727837541877236
Mixed Suboptimal,10000,7.88,17.94,4.307822342359691,2.496753447534973
Mixed Random,10000,4.24,13.85,2.4518473760728985,4.099119146570123
Epsilon-greedy,10000,8.02,16.02,1.975854245636555,2.754713132876897
Boltzmann Softmax: Tau 0.5,10000,2.16,2.42,2.108817467471073,2.589208373229161
Boltzmann Softmax: Tau 1.5,10000,3.7399999999999998,2.1399999999999997,4.1018153162824005,2.1014280858501917
Random,10000,3.71,3.31,3.5287548953010486,3.42845932356406
Expert,5000,4.86,15.8,2.947541348310486,4.046603514059661
Mixed Suboptimal,5000,7.56,18.119999999999997,4.189722876011942,4.06415222812007
Mixed Random,5000,4.67,13.74,2.350437311556204,2.5509039792024923
Epsilon-greedy,5000,9.24,17.2,2.663831826523589,1.477234653744022
Boltzmann Softmax: Tau 0.5,5000,3.3,2.2800000000000002,4.380766041585776,2.030216189911256
Boltzmann Softmax: Tau 1.5,5000,3.3,2.12,4.380766041585776,2.067096729446614
Random,5000,3.0100000000000002,3.4400000000000004,2.2965916775372444,3.3423877027591455
Expert,2000,6.44,14.439999999999998,3.456587912956937,5.674768717754054
Mixed Suboptimal,2000,7.0200000000000005,16.54,4.006882966984575,3.208738069709025
Mixed Random,2000,4.6,12.5,2.0110804171997807,2.6645825188948464
Epsilon-greedy,2000,8.72,16.259999999999998,1.8516059095942754,3.145790838565081
Boltzmann Softmax: Tau 0.5,2000,3.0,1.98,4.456206657884907,2.2768399153212333
Boltzmann Softmax: Tau 1.5,2000,3.2399999999999998,2.06,4.376502916459416,2.0369912452765555
Random,2000,2.29,3.3899999999999997,2.215826908602946,3.342138370697552
Expert,1000,4.88,14.7,2.954149623834243,5.60223169817172
Mixed Suboptimal,1000,6.840000000000001,14.24,3.075783549673879,4.626781939005891
Mixed Random,1000,5.68,13.569999999999999,3.4230590607427938,3.4137141714625794
Epsilon-greedy,1000,8.360000000000001,13.2,2.2237106126672352,3.80992854992788
Boltzmann Softmax: Tau 0.5,1000,0.24,0.26,0.5059644256269407,0.5481281277625191
Boltzmann Softmax: Tau 1.5,1000,2.54,2.6,1.750682406631451,2.157158624981791
Random,1000,2.04,3.0100000000000002,2.1711236210261675,3.4799265637206904
Expert,500,3.8,14.959999999999999,2.2237355957937086,5.539223772334893
Mixed Suboptimal,500,4.9,15.6,1.4636332266733432,2.6423894910141885
Mixed Random,500,4.5200000000000005,14.84,1.6171305176488109,5.238574869815899
Epsilon-greedy,500,5.38,14.26,0.5788878225624644,2.910975399720475
Boltzmann Softmax: Tau 0.5,500,0.22000000000000003,0.5,0.4638007234913623,0.6463573143221771
Boltzmann Softmax: Tau 1.5,500,0.6799999999999999,1.2,0.9942054337230531,1.1623730516108461
Random,500,2.1100000000000003,1.9899999999999998,2.0738852427268006,3.45589673199623
Expert,100,3.8,4.4799999999999995,2.2237355957937086,2.656501458685841
Mixed Suboptimal,100,3.8,3.2600000000000002,2.0965580258021848,2.046786098578289
Mixed Random,100,2.66,2.06,2.173680953794482,2.1412353651312803
Epsilon-greedy,100,3.8,3.7399999999999998,2.0965580258021848,2.061930055931955
Boltzmann Softmax: Tau 0.5,100,0.0,1.34,0.0,2.3339046919510467
Boltzmann Softmax: Tau 1.5,100,1.16,1.9,1.0532489417670132,2.2191089302790985
Random,100,0.73,1.4,0.8000694414306243,1.806777364382354
