IQL Score,BC Score,Behavioral Policy,Training Set Size,Training Steps,Seed
4.0,4.0,Expert,372,100,0
4.0,5.0,Mixed Suboptimal,1798,100,0
2.0,3.0,Mixed Random,2915,100,0
4.0,4.0,Epsilon-greedy,1276,100,0
0.0,0.0,Boltzmann Softmax: Tau 0.5,11328,100,0
2.0,1.0,Boltzmann Softmax: Tau 1.5,11190,100,0
0.0,3.0,Random,3787,100,0
4.0,5.0,Mixed Suboptimal,1798,100,0
4.0,4.0,Mixed Random,2822,100,0
4.0,4.0,Epsilon-greedy,1276,100,0
0.0,0.0,Boltzmann Softmax: Tau 0.5,11328,100,0
2.0,1.0,Boltzmann Softmax: Tau 1.5,11190,100,0
2.0,0.0,Random,3579,100,0
5.7,11.4,Expert,372,100,4219
5.7,5.7,Mixed Suboptimal,1798,100,4219
5.7,5.7,Mixed Random,2915,100,4219
5.7,5.7,Epsilon-greedy,1276,100,4219
0.0,0.0,Boltzmann Softmax: Tau 0.5,11328,100,4219
0.0,5.7,Boltzmann Softmax: Tau 1.5,11190,100,4219
0.0,0.0,Random,3787,100,4219
5.7,5.7,Mixed Suboptimal,1798,100,4219
5.7,5.7,Mixed Random,2822,100,4219
5.7,5.7,Epsilon-greedy,1276,100,4219
0.0,0.0,Boltzmann Softmax: Tau 0.5,11328,100,4219
0.0,5.7,Boltzmann Softmax: Tau 1.5,11190,100,4219
5.7,5.7,Random,3579,100,4219
0.0,2.2,Expert,372,100,17333
0.0,0.0,Mixed Suboptimal,1798,100,17333
2.2,0.0,Mixed Random,2915,100,17333
0.0,2.2,Epsilon-greedy,1276,100,17333
0.0,0.0,Boltzmann Softmax: Tau 0.5,11328,100,17333
0.0,0.0,Boltzmann Softmax: Tau 1.5,11190,100,17333
0.0,2.2,Random,3787,100,17333
0.0,0.0,Mixed Suboptimal,1798,100,17333
4.4,2.2,Mixed Random,2822,100,17333
0.0,2.2,Epsilon-greedy,1276,100,17333
0.0,0.0,Boltzmann Softmax: Tau 0.5,11328,100,17333
0.0,0.0,Boltzmann Softmax: Tau 1.5,11190,100,17333
0.0,0.0,Random,3579,100,17333
4.9,6.0,Expert,372,100,39779
4.9,6.0,Mixed Suboptimal,1798,100,39779
3.6,0.0,Mixed Random,2915,100,39779
4.9,4.8,Epsilon-greedy,1276,100,39779
0.0,0.0,Boltzmann Softmax: Tau 0.5,11328,100,39779
3.7,2.5,Boltzmann Softmax: Tau 1.5,11190,100,39779
0.0,2.4,Random,3787,100,39779
4.9,6.0,Mixed Suboptimal,1798,100,39779
3.7,2.5,Mixed Random,2822,100,39779
4.9,4.8,Epsilon-greedy,1276,100,39779
0.0,0.0,Boltzmann Softmax: Tau 0.5,11328,100,39779
3.7,2.5,Boltzmann Softmax: Tau 1.5,11190,100,39779
1.2,0.0,Random,3579,100,39779
4.4,6.8,Expert,372,100,44987
4.4,2.7,Mixed Suboptimal,1798,100,44987
2.9,0.0,Mixed Random,2915,100,44987
4.4,4.1,Epsilon-greedy,1276,100,44987
0.0,0.0,Boltzmann Softmax: Tau 0.5,11328,100,44987
1.4,1.4,Boltzmann Softmax: Tau 1.5,11190,100,44987
1.4,1.3,Random,3787,100,44987
4.4,2.7,Mixed Suboptimal,1798,100,44987
2.9,2.7,Mixed Random,2822,100,44987
4.4,4.1,Epsilon-greedy,1276,100,44987
0.0,0.0,Boltzmann Softmax: Tau 0.5,11328,100,44987
1.4,1.4,Boltzmann Softmax: Tau 1.5,11190,100,44987
1.4,0.0,Random,3579,100,44987
