IQL Score,BC Score,Behavioral Policy,Training Set Size,Training Steps,Seed
8.0,12.0,Expert,372,5000,0
6.0,14.0,Mixed Suboptimal,1798,5000,0
3.0,7.0,Mixed Random,2915,5000,0
5.0,14.0,Epsilon-greedy,1276,5000,0
2.0,0.0,Boltzmann Softmax: Tau 0.5,11328,5000,0
2.0,3.0,Boltzmann Softmax: Tau 1.5,11190,5000,0
0.0,1.0,Random,3787,5000,0
6.0,14.0,Mixed Suboptimal,1798,5000,0
5.0,11.0,Mixed Random,2822,5000,0
5.0,14.0,Epsilon-greedy,1276,5000,0
2.0,0.0,Boltzmann Softmax: Tau 0.5,11328,5000,0
2.0,3.0,Boltzmann Softmax: Tau 1.5,11190,5000,0
3.0,3.0,Random,3579,5000,0
5.7,5.7,Expert,372,5000,4219
11.4,11.4,Mixed Suboptimal,1798,5000,4219
5.7,11.4,Mixed Random,2915,5000,4219
11.4,5.7,Epsilon-greedy,1276,5000,4219
11.4,5.7,Boltzmann Softmax: Tau 0.5,11328,5000,4219
5.7,5.7,Boltzmann Softmax: Tau 1.5,11190,5000,4219
0.0,0.0,Random,3787,5000,4219
11.4,11.4,Mixed Suboptimal,1798,5000,4219
5.7,17.3,Mixed Random,2822,5000,4219
11.4,5.7,Epsilon-greedy,1276,5000,4219
11.4,5.7,Boltzmann Softmax: Tau 0.5,11328,5000,4219
5.7,5.7,Boltzmann Softmax: Tau 1.5,11190,5000,4219
5.7,11.4,Random,3579,5000,4219
2.2,11.1,Expert,372,5000,17333
6.7,13.4,Mixed Suboptimal,1798,5000,17333
0.0,9.0,Mixed Random,2915,5000,17333
6.7,13.4,Epsilon-greedy,1276,5000,17333
2.2,0.0,Boltzmann Softmax: Tau 0.5,11328,5000,17333
0.0,0.0,Boltzmann Softmax: Tau 1.5,11190,5000,17333
0.0,2.3,Random,3787,5000,17333
6.7,13.4,Mixed Suboptimal,1798,5000,17333
2.2,13.3,Mixed Random,2822,5000,17333
6.7,13.4,Epsilon-greedy,1276,5000,17333
2.2,0.0,Boltzmann Softmax: Tau 0.5,11328,5000,17333
0.0,0.0,Boltzmann Softmax: Tau 1.5,11190,5000,17333
0.0,2.2,Random,3579,5000,17333
9.7,12.4,Expert,372,5000,39779
11.0,20.7,Mixed Suboptimal,1798,5000,39779
3.7,8.6,Mixed Random,2915,5000,39779
7.1,10.9,Epsilon-greedy,1276,5000,39779
2.3,1.2,Boltzmann Softmax: Tau 0.5,11328,5000,39779
1.2,2.5,Boltzmann Softmax: Tau 1.5,11190,5000,39779
2.4,0.0,Random,3787,5000,39779
11.0,20.7,Mixed Suboptimal,1798,5000,39779
7.4,11.3,Mixed Random,2822,5000,39779
7.1,10.9,Epsilon-greedy,1276,5000,39779
2.3,1.2,Boltzmann Softmax: Tau 0.5,11328,5000,39779
1.2,2.5,Boltzmann Softmax: Tau 1.5,11190,5000,39779
6.1,2.5,Random,3579,5000,39779
10.0,15.1,Expert,372,5000,44987
7.2,18.1,Mixed Suboptimal,1798,5000,44987
2.9,9.6,Mixed Random,2915,5000,44987
7.5,15.5,Epsilon-greedy,1276,5000,44987
4.5,2.7,Boltzmann Softmax: Tau 0.5,11328,5000,44987
4.5,1.4,Boltzmann Softmax: Tau 1.5,11190,5000,44987
4.5,2.7,Random,3787,5000,44987
7.2,18.1,Mixed Suboptimal,1798,5000,44987
4.3,13.8,Mixed Random,2822,5000,44987
7.5,15.5,Epsilon-greedy,1276,5000,44987
4.5,2.7,Boltzmann Softmax: Tau 0.5,11328,5000,44987
4.5,1.4,Boltzmann Softmax: Tau 1.5,11190,5000,44987
2.9,7.0,Random,3579,5000,44987
