Behavioral Policy,Training Steps,IQL Score,BC Score,IQL Score Std Dev,BC Score Std Dev
Expert,50000,7.359999999999999,11.02,1.7415510328439991,1.3863621460498694
Mixed Suboptimal,50000,11.680000000000001,15.580000000000002,3.143529509608233,2.4425851514782897
Mixed Random,50000,3.96,10.09,1.869759342803239,2.514601801920579
Epsilon-greedy,50000,5.92,10.36,3.888101507591248,4.082265166410542
Boltzmann Softmax: Tau 0.5,50000,2.7800000000000002,1.48,1.9176374353180876,1.6198765385053266
Boltzmann Softmax: Tau 1.5,50000,3.22,2.1399999999999997,2.3059343731627173,2.1014280858501917
Random,50000,2.2800000000000002,2.8,1.912996486028021,3.2255921075741187
Expert,25000,7.1,15.66,2.1447610589527217,4.6591844779961225
Mixed Suboptimal,25000,10.58,14.280000000000001,1.3894843168120568,4.675895636132184
Mixed Random,25000,4.529999999999999,10.32,2.792072109861539,2.8665891462386672
Epsilon-greedy,25000,5.82,13.280000000000001,1.6130027209455595,2.463421288461322
Boltzmann Softmax: Tau 0.5,25000,3.84,1.44,4.288796775061483,1.596663187191755
Boltzmann Softmax: Tau 1.5,25000,2.7800000000000002,2.12,2.678639787487506,2.067096729446614
Random,25000,2.68,2.94,2.2448954442368927,3.239410097190193
Expert,10000,6.859999999999999,13.12,3.02456608458139,1.5482247898803336
Mixed Suboptimal,10000,8.58,14.919999999999998,2.5986321188057553,1.9532309415711981
Mixed Random,10000,4.01,11.11,2.2343032719644644,2.7614207293428583
Epsilon-greedy,10000,6.840000000000001,12.84,1.0297788327813135,1.4871299726505265
Boltzmann Softmax: Tau 0.5,10000,4.4799999999999995,1.56,3.770882596363291,1.080329167944248
Boltzmann Softmax: Tau 1.5,10000,2.2399999999999998,1.86,2.5233135181960864,2.086570817819941
Random,10000,2.33,2.54,2.227629532335512,1.7360235533476434
Expert,5000,7.12,11.26,3.238363784382477,3.447172754591797
Mixed Suboptimal,5000,8.459999999999999,15.52,2.39592246211025,3.567383105614285
Mixed Random,5000,3.9899999999999998,11.23,2.107368026710095,2.9862834575587245
Epsilon-greedy,5000,7.540000000000001,11.9,2.223710612667235,3.62276751178494
Boltzmann Softmax: Tau 0.5,5000,4.4799999999999995,1.92,3.770882596363291,2.2503333086456325
Boltzmann Softmax: Tau 1.5,5000,2.68,2.52,2.2245099335459133,1.997109021672188
Random,5000,2.46,3.21,2.4176205014205374,3.4894921629881273
Expert,1000,5.82,8.040000000000001,2.2253089673121798,3.118974190338869
Mixed Suboptimal,1000,7.26,13.7,2.925443935921901,2.171532996653644
Mixed Random,1000,4.37,10.51,2.742282099112181,2.9647746775916866
Epsilon-greedy,1000,5.82,10.26,0.9077444574328175,2.0673117272868593
Boltzmann Softmax: Tau 0.5,1000,0.48,0.0,1.0119288512538813,0.0
Boltzmann Softmax: Tau 1.5,1000,2.2800000000000002,2.7,1.9859506539690255,2.2
Random,1000,2.66,3.72,2.0817727488315763,3.085737801203754
Expert,500,6.04,8.22,3.4370045097439132,2.1580083410404143
Mixed Suboptimal,500,5.5600000000000005,13.36,2.300338139395066,2.2789861293517744
Mixed Random,500,4.43,9.77,3.4224909706885196,3.389542742022882
Epsilon-greedy,500,4.96,11.459999999999999,1.4508235209317806,1.9523205565571335
Boltzmann Softmax: Tau 0.5,500,0.0,0.0,0.0,0.0
Boltzmann Softmax: Tau 1.5,500,0.44000000000000006,1.1199999999999999,0.5719362823873924,1.1669523459755233
Random,500,2.55,1.85,2.136065958199273,1.785279312102793
Expert,200,3.8,8.84,2.2169799277395366,2.3114930239998563
Mixed Suboptimal,200,4.44,7.94,1.2589237025685427,2.0424386295689656
Mixed Random,200,3.62,4.8,1.738326142522679,3.0062897029025293
Epsilon-greedy,200,3.8,8.02,2.090188720878784,5.2782151865527
Boltzmann Softmax: Tau 0.5,200,0.0,0.2,0.0,0.4216370213557839
Boltzmann Softmax: Tau 1.5,200,0.64,0.9199999999999999,0.8682037651253176,0.8390470785361211
Random,200,1.3199999999999998,0.9099999999999999,1.852205892082915,1.7691491991601187
Expert,100,3.8,6.08,2.2169799277395366,3.4715990551905613
Mixed Suboptimal,100,3.8,3.88,2.090188720878784,2.3808495215877135
Mixed Random,100,3.71,2.58,1.2913816889930982,2.1549941995281565
Epsilon-greedy,100,3.8,4.16,2.090188720878784,1.2158216243438928
Boltzmann Softmax: Tau 0.5,100,0.0,0.0,0.0,0.0
Boltzmann Softmax: Tau 1.5,100,1.42,2.12,1.4581571322125135,2.067096729446614
Random,100,1.17,1.46,1.768897962009115,1.899239613927403
